Date,Price,Type,RMSE
2015-01-01,150.49671415301123,Actual,
2015-01-02,150.35844985184005,Actual,
2015-01-05,151.00613838994073,Actual,
2015-01-06,152.52916824634877,Actual,
2015-01-07,152.29501487162543,Actual,
2015-01-08,152.06087791467624,Actual,
2015-01-09,153.64009073018363,Actual,
2015-01-12,154.40752545933654,Actual,
2015-01-13,153.9380510734016,Actual,
2015-01-14,154.48061111698757,Actual,
2015-01-15,154.0171934241751,Actual,
2015-01-16,153.55146367060485,Actual,
2015-01-19,153.79342594217087,Actual,
2015-01-20,151.8801456975131,Actual,
2015-01-21,150.15522786500006,Actual,
2015-01-22,149.59294033575907,Actual,
2015-01-23,148.58010921542464,Actual,
2015-01-26,148.8943565480199,Actual,
2015-01-27,147.9863324724987,Actual,
2015-01-28,146.57402877116343,Actual,
2015-01-29,148.03967754008497,Actual,
2015-01-30,147.81390123959844,Actual,
2015-02-02,147.88142944428637,Actual,
2015-02-03,146.4566812580729,Actual,
2015-02-04,145.91229853354773,Actual,
2015-02-05,146.0232211232576,Actual,
2015-02-06,144.8722275458353,Actual,
2015-02-09,145.24792556418095,Actual,
2015-02-10,144.64728687426216,Actual,
2015-02-11,144.35559312446887,Actual,
2015-02-12,143.7538865122395,Actual,
2015-02-13,145.6061646967484,Actual,
2015-02-16,145.59266747201048,Actual,
2015-02-17,144.5349565430546,Actual,
2015-02-18,145.35750145515777,Actual,
2015-02-19,144.13665780518676,Actual,
2015-02-20,144.3455214001915,Actual,
2015-02-23,142.38585127631174,Actual,
2015-02-24,141.0576652274133,Actual,
2015-02-25,141.25452646328242,Actual,
2015-02-26,141.99299304327783,Actual,
2015-02-27,142.16436132446782,Actual,
2015-03-02,142.04871304207956,Actual,
2015-03-03,141.74760934649026,Actual,
2015-03-04,140.26908735612284,Actual,
2015-03-05,139.54924314772813,Actual,
2015-03-06,139.08860437676836,Actual,
2015-03-09,140.14572660298728,Actual,
2015-03-10,140.48934489255572,Actual,
2015-03-11,138.726304737193,Actual,
2015-03-12,139.0503887065878,Actual,
2015-03-13,138.66530642617147,Actual,
2015-03-16,137.98838442586552,Actual,
2015-03-17,138.6000607147064,Actual,
2015-03-18,139.63106023720235,Actual,
2015-03-19,140.56234035631854,Actual,
